handle,tweets,is_retweet,retweet_count,favorite_count,hour,month_f,day,year,text,hashtag
HillaryClinton,hillary clinton took charge first presidential debate,True,1259,2676,1,SEP,27,2016,hillary clinton took charge first presidential debate,[]
realDonaldTrump,stand police protect americans,False,12173,33572,1,SEP,27,2016,stand police protect americans,[]
HillaryClinton,going bring new york unconstitutional stop frisk program nationwide,False,6923,17156,1,SEP,27,2016,going bring new york unconstitutional stop frisk program nationwide,[]
realDonaldTrump,potus families going safe secure law order restored,True,4550,11239,1,SEP,27,2016,potus families going safe secure law order restored,[]
HillaryClinton,maybe good job donald trump looks like loved time,False,4435,8347,1,SEP,27,2016,maybe good job donald trump looks like loved time,[]
realDonaldTrump,watch stakes election,True,1936,5930,1,SEP,27,2016,watch stakes election,[]
HillaryClinton,time country somebody running idea money trump,False,2469,5868,1,SEP,27,2016,time country somebody running idea money trump,[]
HillaryClinton,paying zero taxes make smart makes tax evader,False,20195,33668,1,SEP,27,2016,paying zero taxes make smart makes tax evader,[]
HillaryClinton,wonder donald trump hiding tax returns,False,8568,15157,1,SEP,27,2016,wonder donald trump hiding tax returns,[]
realDonaldTrump,simple fact typical politician talk action,False,13308,32127,1,SEP,27,2016,simple fact typical politician talk action,[]
HillaryClinton,legit reason release returns audited scared release earlier returns longer audit,True,11973,15567,1,SEP,27,2016,legit reason release returns audited scared release earlier returns longer audit,[]
realDonaldTrump,hillary bad tax habit,False,11774,21663,1,SEP,27,2016,hillary bad tax habit,[]
realDonaldTrump,clinton economy taxes spending,False,7878,16568,1,SEP,27,2016,clinton economy taxes spending,[]
realDonaldTrump,part rigged dc system years would take policy advice,False,9707,22634,1,SEP,27,2016,part rigged dc system years would take policy advice,[]
realDonaldTrump,instead driving jobs wealth away america become world great magnet innovation job creati,False,7189,19174,1,SEP,27,2016,instead driving jobs wealth away america become world great magnet innovation job creati,[]
HillaryClinton,spirit friendship donald trump isis plan consideration,True,4128,5914,1,SEP,27,2016,spirit friendship donald trump isis plan consideration,[]
HillaryClinton,donald trump may live reality got words right check,False,5904,8292,1,SEP,27,2016,donald trump may live reality got words right check,[]
realDonaldTrump,channels john kerry trade bad trade deals,False,5045,13196,1,SEP,27,2016,channels john kerry trade bad trade deals,[]
HillaryClinton,step confront climate change save planet invest clean energy nothing,False,2751,6025,1,SEP,27,2016,step confront climate change save planet invest clean energy nothing,[]
HillaryClinton,never said donald trump said,False,91670,134808,1,SEP,27,2016,never said donald trump said,[]
HillaryClinton,called business donald trump housing crash millions americans called losing home,False,12980,20267,1,SEP,27,2016,called business donald trump housing crash millions americans called losing home,[]
realDonaldTrump,obama policies increased debt trillion last years,False,7836,17385,1,SEP,27,2016,obama policies increased debt trillion last years,[]
HillaryClinton,economists project trump plans would add national debt trillion,False,3322,6308,1,SEP,27,2016,economists project trump plans would add national debt trillion,[]
HillaryClinton,donald trump seems think million small loan,True,1738,2478,1,SEP,27,2016,donald trump seems think million small loan,[]
HillaryClinton,every time trump makes show railing outsourcing remember countries shipped jobs profits,False,3721,5734,1,SEP,27,2016,every time trump makes show railing outsourcing remember countries shipped jobs profits,[]
realDonaldTrump,administration bring jobs back,True,3928,8756,1,SEP,27,2016,administration bring jobs back,[]
HillaryClinton,small business owner dad may get multi million dollar bailouts teach va,False,2537,9180,1,SEP,27,2016,small business owner dad may get multi million dollar bailouts teach va,[]
HillaryClinton,many trump products made overseas complete list,True,1656,1563,1,SEP,27,2016,many trump products made overseas complete list,[]
HillaryClinton,one candidate stage support working families,False,3732,7138,1,SEP,27,2016,one candidate stage support working families,[]
HillaryClinton,build economy works everyone top,False,2745,6299,1,SEP,27,2016,build economy works everyone top,[]
HillaryClinton,watch live hillary takes stage first presidential debate,False,804,2137,1,SEP,27,2016,watch live hillary takes stage first presidential debate,[]
HillaryClinton,let,False,24233,78491,0,SEP,27,2016,let,[]
